,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,pensais,thought
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,place,square
25,parle,speak
26,étaient,were
27,attention,Warning
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,donné,given
33,train,train
34,yeux,eyes
35,façon,way
36,écoute,listen
37,dont,whose
38,premier,first
39,perdu,lost
40,main,hand
41,côté,side
42,pouvoir,power
43,vieux,old
44,sois,be
45,tiens,here
46,matin,morning
47,enfant,child
48,point,point
49,venu,came
50,suite,after
51,pardon,sorry
52,venez,come
53,devant,in front of
54,vers,towards
55,minutes,minutes
56,demandé,request
57,chambre,bedroom
58,mis,placed
59,droit,law
60,aimerais,would like to
61,mari,husband
62,cause,cause
63,enfin,finally
64,espère,hope
65,eau,water
66,attendez,Wait
67,parti,left
68,nouvelle,new
69,boulot,job
70,dirait,would say
71,compte,account
72,loin,far
73,fin,end
74,croire,believe
75,plutôt,rather
76,aura,will have
77,jouer,to play
